WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
1.0	0	0.0	8.379	3.94	27.0	27.611	2.1257286	1.3711808	3.3182142
1.0	0	0.0	0.113	5.028	22.0	27.611	-2.1803675	1.6150223	3.3182142
1.0	0	0.0	0.248	5.539	31.0	27.611	-1.3943266	1.7118139	3.3182142
1.0	0	0.0	0.235	5.271	25.0	25.192	-1.4481697	1.6622201	3.2265265
1.0	0	0.0	0.171	5.13	26.0	25.192	-1.7660917	1.6351057	3.2265265
0.0	0	0.0	0.171	1.143	29.0	25.192	-1.7660917	0.1336564	3.2265265
0.0	0	0.0	9.561	13.455	22.0	25.192	2.2576923	2.5993507	3.2265265
1.0	0	0.0	0.139	5.348	34.0	25.192	-1.9732814	1.6767226	3.2265265
0.0	0	0.0	0.09	4.493	32.0	25.192	-2.4079456	1.5025207	3.2265265
0.0	0	0.0	0.28	5.396	32.0	25.192	-1.2729657	1.685658	3.2265265
1.0	0	0.0	0.092	1.202	25.0	25.192	-2.3859668	0.18398686	3.2265265
	0	0.0	0.122	9.363	35.0	24.142	-2.1037343	2.2367659	3.183953
1.0	0	0.0	0.148	9.559	26.0	24.142	-1.910543	2.257483	3.183953
0.0	0	0.0	0.208	6.223	26.0	24.142	-1.5702171	1.8282521	3.183953
1.0	0	0.0	0.171	7.9	27.0	24.142	-1.7660917	2.0668628	3.183953
0.0	0	0.0	0.147	3.538	25.0	24.142	-1.9173226	1.2635616	3.183953
0.0	0	0.0	0.687	5.007	21.0	24.142	-0.37542102	1.610837	3.183953
0.0	0	0.0	0.158	2.588	20.0	24.142	-1.8451602	0.9508854	3.183953
1.0	1	0.0	0.186	11.077	21.0	24.142	-1.6820086	2.4048707	3.183953
0.0	1	0.0	0.093	18.126	18.0	24.142	-2.3751557	2.8973475	3.183953
0.0	0	0.0	0.049	6.791	21.0	24.142	-3.015935	1.9155982	3.183953
0.0	0	0.0	0.139	7.168	34.0	23.914	-1.9732814	1.9696267	3.174464
0.0	0	0.0	0.111	4.666	48.0	23.914	-2.198225	1.5403022	3.174464
0.0	0	0.0	0.108	7.184	44.0	23.914	-2.225624	1.9718564	3.174464
